algo,input,mode,threads,run,instructions,cycles,cpi,ipc,branch_miss_rate,cache_miss_rate,stalled_be_ratio,L1_dcache_load_misses,LLC_load_misses,dTLB_load_misses,iTLB_load_misses,time_sec,energy_pkg_joules,energy_ram_joules,energy_total_joules,power_watts,edp,ed2p
quicksort,500,serial,1,1,747020.0,1065049.0,1.4257302347996037,0.7013949592929527,0.09861689173224769,0.2207408033469267,0.0,13482.0,433.0,490.0,433.0,0.0014942990000000001,0.05,0.0,0.05,33.460505561470626,7.471495000000002e-05,1.1164647507005003e-07
quicksort,1000,parallel,2,1,953525.0,1701620.0,1.784557300542723,0.5603630657843702,0.10395507977096848,0.2253950741473862,0.0,17305.0,616.0,640.0,660.0,0.0017741065,0.06,0.0,0.06,33.81984114256951,0.00010644639,1.88847232400535e-07
quicksort,1000,parallel,4,1,982210.0,2380934.0,2.424057991671842,0.41253138474229023,0.09905201245531081,0.22623768511060166,0.0,17734.0,623.0,665.0,604.0,0.00180259,0.03,0.0,0.03,16.64271964229248,5.40777e-05,9.747992124299999e-08
quicksort,1000,parallel,8,1,1084778.0,4974787.0,4.58599547557196,0.21805516497490243,0.08623909713696115,0.21434277725470055,0.0,18666.0,633.0,706.0,727.0,0.002122963,0.06,0.0,0.06,28.26238610847198,0.00012737778,2.7041831396214e-07
quicksort,1000,serial,1,1,827340.0,1200221.0,1.4506986245074576,0.6893230496716855,0.1046885798203179,0.2592095888688655,0.0,13630.0,478.0,474.0,464.0,0.001598908,0.06,0.0,0.06,37.52561122966424,9.593448e-05,1.5339040754784e-07
quicksort,5000,parallel,2,1,1690801.0,3208974.0,1.8979016454331408,0.5268976937800057,0.1188495199907468,0.21124003246908274,0.0,17866.0,640.0,626.0,619.0,0.0020238685,0.06,0.0,0.06,29.64619489853219,0.00012143210999999999,2.45762622317535e-07
quicksort,5000,parallel,4,1,1770117.0,5251937.0,2.9669999214741174,0.33704079085487887,0.11183338714262997,0.20393650989526294,0.0,18539.0,586.0,672.0,727.0,0.0020861960000000002,0.05,0.0,0.05,23.96706733212028,0.00010430980000000002,2.1761068752080007e-07
quicksort,5000,parallel,8,1,4201047.0,68836200.0,16.385486760800344,0.06102961813696863,0.03790818180704541,0.20966082846816791,0.0,19123.0,613.0,722.0,692.0,0.003380479,0.1,0.01,0.11,32.539767293333284,0.00037185269,1.25704020963851e-06
quicksort,5000,serial,1,1,1538062.0,2128781.0,1.3840670922238505,0.7225083275358057,0.1181883544885166,0.2132440135643997,0.0,13702.0,444.0,503.0,465.0,0.001817964,0.05,0.0,0.05,27.503294894728388,9.089820000000001e-05,1.6524965526480002e-07
quicksort,10000,parallel,2,1,2517759.0,3887939.0,1.5442061770010553,0.6475819193665333,0.12422698107606556,0.22357332049121117,0.0,19451.0,645.0,627.0,642.0,0.002185238,0.08,0.0,0.08,36.609284663729994,0.00017481904,3.8202120933152e-07
quicksort,10000,parallel,4,1,2620033.0,6311882.0,2.40908492373951,0.415095370921066,0.11837852574052567,0.19031484217231612,0.0,20642.0,607.0,701.0,692.0,0.0022386865,0.05,0.0,0.05,22.334525178045254,0.000111934325,2.505858622641125e-07
quicksort,10000,parallel,8,1,8397852.0,157018560.0,18.69746692368477,0.05348318058705926,0.029693802441391446,0.26836070653858074,0.0,21785.0,769.0,765.0,855.0,0.005146538500000001,0.06,0.0,0.06,11.658321413509292,0.00030879231,1.5892115119189354e-06
quicksort,10000,serial,1,1,2397043.0,3205385.0,1.3372246555443519,0.747817500861831,0.12224806201550388,0.20967675349874088,0.0,14823.0,417.0,499.0,471.0,0.0020604885,0.06,0.0,0.06,29.11930835818788,0.00012362930999999997,2.547367715179349e-07
quicksort,50000,parallel,2,1,9241064.0,12928989.0,1.3990801275697258,0.7147553455262434,0.11833814527328772,0.18406784046669725,0.0,33919.0,632.0,679.0,681.0,0.003814736,0.11,0.0,0.11,28.835547204315056,0.00041962096,1.60074318246656e-06
quicksort,50000,parallel,4,1,9456293.0,17966393.0,1.8999403889029243,0.5263323027610495,0.11456953188856335,0.14502341920374706,0.0,36066.0,643.0,801.0,750.0,0.003595285,0.08,0.0,0.08,22.251365329869536,0.0002876228,1.034085938498e-06
quicksort,50000,parallel,8,1,13378815.0,120738153.0,9.024577513030863,0.11080851137419669,0.076536712566519,0.1825024829677127,0.0,40285.0,1349.0,1044.0,930.0,0.0097544905,0.13,0.0,0.13,13.327195305587718,0.0012680837650000001,1.2369511038896735e-05
quicksort,50000,serial,1,1,9278850.0,11368542.0,1.2252102361822854,0.8161864555718754,0.11445830461359773,0.1642708468843502,0.0,29426.0,455.0,525.0,514.0,0.004198296000000001,0.09,0.0,0.09,21.437268834784394,0.00037784664000000003,1.5863120373254403e-06
quicksort,100000,parallel,2,1,17509153.0,24007973.0,1.3711670119051447,0.729305760215575,0.12169591300010185,0.15253238036498204,0.0,55479.0,647.0,724.0,673.0,0.0057437224999999995,0.16,0.01,0.17,29.597530173158614,0.000976432825,5.608359186691062e-06
quicksort,100000,parallel,4,1,17954504.0,34375497.0,1.914589063557534,0.5223052920514866,0.11824920287780251,0.10943828588526348,0.0,59857.0,704.0,954.0,740.0,0.0054972319999999995,0.13,0.0,0.13,23.648265163267627,0.0007146401599999999,3.928542756037119e-06
quicksort,100000,parallel,8,1,18526631.0,51852228.0,2.7987942330151663,0.35729672021036396,0.11661420089760517,0.18778639986344717,0.0,67285.0,697.0,1164.0,863.0,0.010248551,0.12,0.01,0.13,12.68472001554171,0.00133231163,1.365426368794813e-05
quicksort,100000,serial,1,1,17766269.0,21776738.0,1.2257350150445205,0.8158370183817246,0.11794473685156585,0.12128248028135351,0.0,49289.0,553.0,498.0,505.0,0.006917102,0.19,0.01,0.2,28.913842820302495,0.0013834204,9.5692600156808e-06
radixsort,100,parallel,2,1,830484.0,1478073.0,1.7797729998410565,0.5618694069914003,0.09005811657168651,0.2239194771564215,0.0,18251.0,642.0,626.0,590.0,0.0017525735,0.07,0.0,0.07,39.94126351904785,0.00012268014500000003,2.1500597110315756e-07
