algo,input,mode,threads,n_runs,time_sec_mean,time_sec_std,time_cv,speedup,efficiency,ipc_mean,ipc_std,cpi_mean,cpi_std,branch_miss_rate_mean,cache_miss_rate_mean,instructions_mean,instructions_std,cycles_mean,cycles_std,branch_miss_rate_std,cache_miss_rate_std,stalled_be_ratio_mean,stalled_be_ratio_std,L1_dcache_load_misses_mean,L1_dcache_load_misses_std,LLC_load_misses_mean,LLC_load_misses_std,dTLB_load_misses_mean,dTLB_load_misses_std,iTLB_load_misses_mean,iTLB_load_misses_std,energy_pkg_joules_mean,energy_pkg_joules_std,energy_ram_joules_mean,energy_ram_joules_std,energy_total_joules_mean,energy_total_joules_std,power_watts_mean,power_watts_std,edp_mean,edp_std,ed2p_mean,ed2p_std,bottleneck
bottomupsort,500,serial,1,1,0.0015390355,,,1.0,1.0,0.7115717871449314,,1.4053395849382124,,0.0956704600245145,0.21869533143640005,780173.0,,1096408.0,,,,0.0,,13654.0,,462.0,,493.0,,480.0,,0.03,,0.0,,0.03,,19.492727750594447,,4.6171065e-05,,7.105890810780749e-08,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,1000,parallel,2,1,0.0018347325000000001,,,0.8355196193450543,0.4177598096725271,0.6064363891657556,,1.6489775644493405,,0.09675473519121727,0.23179626653480034,1016690.0,,1676499.0,,,,0.0,,17597.0,,732.0,,628.0,,627.0,,0.06,,0.0,,0.06,,32.70231491511705,,0.00011008395000000001,,2.0197460079337504e-07,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,1000,parallel,4,1,0.0018187110000000002,,,0.8428799297964326,0.21071998244910814,0.47162711276989183,,2.1203191524061142,,0.09513263830430184,0.21254045543341984,1042386.0,,2210191.0,,,,0.0,,18749.0,,642.0,,644.0,,657.0,,0.06,,0.0,,0.06,,32.99039814462,,0.00010912266000000001,,1.9846258209126003e-07,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,1000,parallel,8,1,0.0022639245,,,0.6771228457486105,0.08464035571857631,0.25974974269633977,,3.8498594440151157,,0.08749439955505431,0.19269728093257504,1128376.0,,4344089.0,,,,0.0,,18113.0,,1140.0,,752.0,,691.0,,0.06,,0.0,,0.06,,26.502650596342768,,0.00013583547,,3.0752124850201495e-07,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,1000,serial,1,1,0.001532955,,,1.0,1.0,0.7404738055436833,,1.350486664772379,,0.09839061633951354,0.2155058581878393,897435.0,,1211974.0,,,,0.0,,13660.0,,425.0,,488.0,,495.0,,0.03,,0.0,,0.03,,19.570046087458536,,4.598865e-05,,7.049853096075e-08,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,5000,parallel,2,1,0.0019988625000000003,,,0.9875078951153466,0.4937539475576733,0.7196401308802748,,1.3895834280069743,,0.10359118302650046,0.23078523759271094,2090515.0,,2904945.0,,,,0.0,,20037.0,,678.0,,639.0,,630.0,,0.06,,0.0,,0.06,,30.01707220981933,,0.00011993175000000001,,2.397270776343751e-07,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,5000,parallel,4,1,0.0019458965,,,1.014387198908061,0.25359679972701527,0.5632184546514744,,1.775510002808432,,0.10255754527203494,0.210091468394403,2129302.0,,3780597.0,,,,0.0,,21687.0,,608.0,,653.0,,629.0,,0.06,,0.0,,0.06,,30.834116819676687,,0.00011675379,,2.27190791322735e-07,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,5000,parallel,8,1,0.0020830625,,,0.9475915869062979,0.11844894836328723,0.30595610498331444,,3.2684427070168636,,0.09372099473051677,0.1655839030491433,2266953.0,,7409406.0,,,,0.0,,24135.0,,614.0,,740.0,,707.0,,0.05,,0.0,,0.05,,24.003120405652737,,0.00010415312499999999,,2.1695746894531246e-07,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,5000,serial,1,1,0.0019738925,,,1.0,1.0,0.8752064960059427,,1.1425874974232482,,0.1033430116290885,0.26822979131686253,1984087.0,,2266993.0,,,,0.0,,21777.0,,426.0,,467.0,,474.0,,0.03,,0.0,,0.03,,15.198396062602194,,5.921677499999999e-05,,1.1688754804668747e-07,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,10000,parallel,2,1,0.0022605855,,,1.3643474223823873,0.6821737111911936,0.7604613918050295,,1.3149911498155116,,0.10651819676319862,0.21102812199400214,3500492.0,,4603116.0,,,,0.0,,34970.0,,607.0,,638.0,,599.0,,0.05,,0.0,,0.05,,22.11816363504057,,0.000113029275,,2.555123401405125e-07,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,10000,parallel,4,1,0.003064446,,,1.0064540213793944,0.2516135053448486,0.6704214931987211,,1.4915989569916543,,0.09169275944562533,0.20577415539003496,3555868.0,,5303929.0,,,,0.0,,25497.0,,649.0,,685.0,,733.0,,0.05,,0.0,,0.05,,16.316162856189994,,0.00015322230000000003,,4.695414643458001e-07,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,10000,parallel,8,1,0.0076195925,,,0.40477545223054906,0.05059693152881863,0.3621847163373416,,2.761022083186394,,0.08987959223438552,0.20656208972791887,3728855.0,,10295451.0,,,,0.0,,28984.0,,882.0,,831.0,,772.0,,0.07,,0.0,,0.07,,9.18684299718128,,0.0005333714750000001,,4.064073290623938e-06,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,10000,serial,1,1,0.003084224,,,1.0,1.0,0.8929788789493972,,1.1198473150636157,,0.10738957190340795,0.3467195220039067,3359074.0,,3761650.0,,,,0.0,,31903.0,,463.0,,496.0,,465.0,,0.05,,0.0,,0.05,,16.211533273847817,,0.0001542112,,4.7562188410880003e-07,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,50000,parallel,2,1,0.004488492,,,1.209354945937299,0.6046774729686495,0.850979578000614,,1.1751163316392519,,0.11270834078377998,0.08724873711611113,15571860.0,,18298747.0,,,,0.0,,121207.0,,627.0,,696.0,,672.0,,0.13,,0.0,,0.13,,28.9629568238063,,0.00058350396,,2.61905285642832e-06,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,50000,parallel,4,1,0.0038878704999999996,,,1.3961833348101487,0.34904583370253717,0.6801831471012723,,1.4701922625717605,,0.11264932342285897,0.11312847246038824,15748411.0,,23153192.0,,,,0.0,,122487.0,,676.0,,778.0,,712.0,,0.1,,0.0,,0.1,,25.721021314881764,,0.00038878705,,1.5115537024770249e-06,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,50000,parallel,8,1,0.003930169,,,1.3811568917265389,0.17264461146581736,0.3924143057111412,,2.548327075354145,,0.10713435166622551,0.08919448228882834,16378024.0,,41736562.0,,,,0.0,,124998.0,,671.0,,896.0,,742.0,,0.1,,0.0,,0.1,,25.444198455588044,,0.00039301690000000003,,1.5446228368561e-06,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,50000,serial,1,1,0.0054281799999999995,,,1.0,1.0,0.9641092212711878,,1.0372268804580977,,0.11486194366505585,0.04880008593833924,15373488.0,,15945795.0,,,,0.0,,117251.0,,438.0,,514.0,,485.0,,0.13,,0.0,,0.13,,23.94909527686997,,0.0007056634,,3.8304679546119995e-06,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,100000,parallel,2,1,0.0141206925,,,0.6631420165831102,0.3315710082915551,0.9641913426242632,,1.0371385385791532,,0.10242926832536867,0.029300326322982923,31552157.0,,32723958.0,,,,0.0,,250034.0,,598.0,,718.0,,635.0,,0.2,,0.01,,0.21000000000000002,,14.871791875646327,,0.0029653454250000003,,4.1872730902706815e-05,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,100000,parallel,4,1,0.006015639,,,1.5566134370762608,0.3891533592690652,0.7184829850531111,,1.3918214081660945,,0.1147905034576344,0.04821626334268008,31798408.0,,44257705.0,,,,0.0,,251082.0,,664.0,,864.0,,756.0,,0.14,,0.0,,0.14,,23.272673110869853,,0.00084218946,,5.06630776096494e-06,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,100000,parallel,8,1,0.005782011,,,1.6195099767191725,0.20243874708989656,0.4648693522255757,,2.1511420256303637,,0.11123409976278115,0.0385106081368426,32579873.0,,70083934.0,,,,0.0,,254574.0,,655.0,,1029.0,,733.0,,0.14,,0.0,,0.14,,24.213028996312875,,0.0008094815400000001,,4.680431168576941e-06,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,100000,serial,1,1,0.0093640245,,,1.0,1.0,0.9824166494653022,,1.0178980583688884,,0.11545805780040014,0.01926202135144885,31678520.0,,32245504.0,,,,0.0,,246357.0,,726.0,,529.0,,495.0,,0.2,,0.01,,0.21000000000000002,,22.426254865095668,,0.001966445145,,1.8413840515686055e-05,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,500000,parallel,2,1,0.028778496,,,1.5521634799817194,0.7760817399908597,0.9138222423190996,,1.0943047276483426,,0.11794864213894378,0.046425934136040535,165461376.0,,181065166.0,,,,0.0,,1303842.0,,1552.0,,1321.0,,748.0,,0.77,,0.02,,0.79,,27.45105234130373,,0.022735011840000003,,0.0006542794472973927,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,500000,parallel,4,1,0.019497171,,,2.291046762630332,0.572761690657583,0.8279986772086957,,1.2077313980393614,,0.1122060449041255,0.020598917035159998,166662432.0,,201283452.0,,,,0.0,,1305212.0,,1297.0,,1724.0,,731.0,,0.65,,0.01,,0.66,,33.85106485448581,,0.012868132860000001,,0.0002508921868221391,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,500000,parallel,8,1,0.026355778500000003,,,1.6948439030173208,0.2118554878771651,0.305795076807559,,3.2701638314122157,,0.109452380037395,0.0948146257938879,179526744.0,,587081865.0,,,,0.0,,1313513.0,,1245.0,,2090.0,,770.0,,0.57,,0.01,,0.58,,22.00655920674094,,0.01528635153,,0.00040288369499781617,,"ILP/pipeline, Branch, Memory/cache, TLB"
